imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
DJI_0248.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419720.535961, 9410598.583539, -78.421012, 1419710.029571, 9410597.230720, -74.347113, 16.404199, 16.404199, 32.808399, 11.334617, -66.042788, -76.532999, 0.514086, 0.511149, 0.959156, 0.147476, 0.121009, 0.349569, 0.989163
DJI_0249.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419739.159678, 9410598.958850, -77.348772, 1419740.729783, 9410598.829518, -75.331365, 16.404199, 16.404199, 32.808399, 11.689264, -66.066978, -76.240616, 0.502565, 0.503668, 0.951898, 0.148757, 0.120664, 0.349737, 0.989811
DJI_0250.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419761.583855, 9410600.112448, -77.573250, 1419761.187671, 9410599.935814, -74.675197, 16.404199, 16.404199, 32.808399, 19.785663, -64.992421, -67.387787, 0.491541, 0.496387, 0.945347, 0.182429, 0.109488, 0.318372, 0.989783
DJI_0251.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419788.916641, 9410603.542382, -76.308814, 1419780.421445, 9410602.592649, -75.003281, 16.404199, 16.404199, 32.808399, 22.358802, -64.541176, -64.607998, 0.482453, 0.489579, 0.940350, 0.192075, 0.105392, 0.306529, 0.989495
DJI_0252.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419823.191766, 9410608.716864, -75.503909, 1419818.140589, 9410607.900086, -74.347113, 16.404199, 16.404199, 32.808399, 21.944961, -64.718116, -65.094745, 0.479253, 0.485921, 0.939441, 0.190911, 0.106103, 0.309889, 0.989723
DJI_0253.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419856.947521, 9410615.690182, -74.952994, 1419856.816059, 9410616.392096, -74.347113, 16.404199, 16.404199, 32.808399, 21.445950, -64.991659, -65.643999, 0.484835, 0.487351, 0.944133, 0.189850, 0.106948, 0.314644, 0.989853
DJI_0254.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419890.475691, 9410620.716365, -74.796233, 1419891.213784, 9410621.817549, -74.675197, 16.404199, 16.404199, 32.808399, 32.538841, -62.205207, -53.325020, 0.499839, 0.495591, 0.955234, 0.221460, 0.088976, 0.253386, 0.989849
DJI_0255.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419915.507240, 9410627.940581, -74.262762, 1419911.910848, 9410626.859025, -75.003281, 16.404199, 16.404199, 32.808399, 35.590453, -51.207997, -46.558562, 0.515520, 0.503925, 0.966366, 0.187211, 0.084261, 0.172587, 0.989787
DJI_0256.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419934.993664, 9410641.235685, -73.419530, 1419936.934981, 9410642.819335, -74.675197, 16.404199, 16.404199, 32.808399, 41.586319, -47.116716, -38.560233, 0.529216, 0.510254, 0.975473, 0.182703, 0.081783, 0.149508, 0.989813
DJI_0257.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419948.864288, 9410653.381424, -72.818751, 1419949.117890, 9410653.354752, -74.675197, 16.404199, 16.404199, 32.808399, 46.511990, -42.215284, -31.424141, 0.540549, 0.516080, 0.982882, 0.171153, 0.084207, 0.134580, 0.989828
DJI_0258.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419961.381287, 9410664.748191, -72.697446, 1419960.596737, 9410663.631356, -74.347113, 16.404199, 16.404199, 32.808399, 50.023031, -37.360565, -25.842140, 0.552238, 0.522917, 0.990630, 0.158164, 0.088237, 0.127578, 0.989825
DJI_0259.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419972.167491, 9410676.898779, -73.616145, 1419973.786812, 9410678.370470, -74.675197, 16.404199, 16.404199, 32.808399, 51.812257, -34.302206, -22.620178, 0.563354, 0.529978, 0.997927, 0.149980, 0.090932, 0.125397, 0.989825
DJI_0260.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1419986.156789, 9410693.560426, -73.475929, 1419985.467708, 9410692.461262, -75.003281, 16.404199, 16.404199, 32.808399, 52.111652, -33.831426, -22.008368, 0.579655, 0.541500, 1.008807, 0.148642, 0.091413, 0.125160, 0.989829
DJI_0261.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1420004.405297, 9410715.330725, -73.397595, 1420002.299360, 9410712.581577, -74.675197, 16.404199, 16.404199, 32.808399, 52.961875, -34.098689, -21.399795, 0.603847, 0.560361, 1.025468, 0.149054, 0.091287, 0.125394, 0.989783
DJI_0262.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1420020.210544, 9410733.731360, -73.250595, 1420017.773250, 9410731.326088, -74.675197, 16.404199, 16.404199, 32.808399, 53.420872, -33.260643, -20.473524, 0.627120, 0.579736, 1.042020, 0.146752, 0.092034, 0.125061, 0.989782
DJI_0263.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1420036.166848, 9410750.525506, -72.919929, 1420032.658230, 9410747.348466, -74.675197, 16.404199, 16.404199, 32.808399, 55.044035, -29.314270, -17.088424, 0.652098, 0.601091, 1.060352, 0.137199, 0.094870, 0.124125, 0.989719
DJI_0264.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1420046.569341, 9410766.925032, -72.936375, 1420045.252319, 9410761.555715, -74.675197, 16.404199, 16.404199, 32.808399, 55.643633, -27.644361, -15.739870, 0.670939, 0.618996, 1.074191, 0.133521, 0.095923, 0.123951, 0.989668
DJI_0265.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1420050.909418, 9410794.295706, -73.302017, 1420050.532133, 9410791.010815, -75.003281, 16.404199, 16.404199, 32.808399, 55.699571, -27.512078, -15.529824, 0.686852, 0.640084, 1.085462, 0.133133, 0.096052, 0.123930, 0.989774
DJI_0266.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1420053.772103, 9410824.293548, -73.062676, 1420055.146904, 9410818.914973, -75.003281, 16.404199, 16.404199, 32.808399, 55.467656, -27.203302, -15.231525, 0.704501, 0.665872, 1.098615, 0.132288, 0.096468, 0.123771, 0.989660
DJI_0267.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1420066.004231, 9410855.293713, -72.827154, 1420058.264590, 9410843.183164, -75.003281, 16.404199, 16.404199, 32.808399, 55.249676, -28.230106, -15.975903, 0.737818, 0.704971, 1.125005, 0.134463, 0.095808, 0.123911, 0.988690
DJI_0268.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1420095.027537, 9410900.007398, -72.944670, 1420093.420787, 9410900.544313, -75.003281, 16.404199, 16.404199, 32.808399, 56.036120, -25.986146, -14.359258, 0.805373, 0.777329, 1.180658, 0.129974, 0.097031, 0.123792, 0.989807
DJI_0269.JPG, 0, FC6310_8.8_4864x3648 (RGB)(1), 1420113.607628, 9410931.254347, -73.379988, 1420110.721737, 9410928.575308, -75.331365, 16.404199, 16.404199, 32.808399, 58.893776, -9.694358, -3.825810, 0.852839, 0.829730, 1.221152, 0.111026, 0.101965, 0.122550, 0.989747
