DJI_0248.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0328556, -0.393775, -0.237045, 0.270453, -0.236784, -0.15222, 0.0414033, 0.00153081, 0.00345082, 0.00504768, -0.00482977, -0.0025429, -0.0120045
0.0328556, 1, -0.0565385, -0.0032051, 0.00815648, -0.00733533, -0.0888418, 0.946523, -0.000496324, -0.00160257, 0.00262339, 0.00278676, 0.0154292, 0.0389271
-0.393775, -0.0565385, 1, -0.0691387, 0.0259573, -0.0208535, 0.800684, -0.0793322, 0.00422862, 0.000680165, -0.00589362, 0.0232957, -0.00181228, -0.00588055
-0.237045, -0.0032051, -0.0691387, 1, -0.96124, 0.90279, -0.0607056, -0.00703704, -0.000340584, 0.000190579, 0.000905065, -0.000952758, -0.00115174, -0.00246641
0.270453, 0.00815648, 0.0259573, -0.96124, 1, -0.982192, 0.0224707, 0.0149687, 0.000674481, 0.000389747, -0.000248799, 0.000799247, 0.000460608, 0.00117341
-0.236784, -0.00733533, -0.0208535, 0.90279, -0.982192, 1, -0.0143785, -0.0136347, -0.000629333, -0.000327842, 0.000226388, -0.000652888, -0.000544892, -0.000960815
-0.15222, -0.0888418, 0.800684, -0.0607056, 0.0224707, -0.0143785, 1, -0.0992074, 0.0025019, 0.00200855, -0.00435164, 0.0195767, -0.00118311, -0.00704194
0.0414033, 0.946523, -0.0793322, -0.00703704, 0.0149687, -0.0136347, -0.0992074, 1, 0.000311207, -0.000604881, 0.00253367, 0.00249264, 0.0158993, 0.0381684
0.00153081, -0.000496324, 0.00422862, -0.000340584, 0.000674481, -0.000629333, 0.0025019, 0.000311207, 1, 0.0422818, -0.000361073, 0.000700244, -0.000246465, -0.243473
0.00345082, -0.00160257, 0.000680165, 0.000190579, 0.000389747, -0.000327842, 0.00200855, -0.000604881, 0.0422818, 1, 0.00059474, -0.000341968, 0.00293293, 0.275046
0.00504768, 0.00262339, -0.00589362, 0.000905065, -0.000248799, 0.000226388, -0.00435164, 0.00253367, -0.000361073, 0.00059474, 1, 0.204192, 0.112923, -0.00461738
-0.00482977, 0.00278676, 0.0232957, -0.000952758, 0.000799247, -0.000652888, 0.0195767, 0.00249264, 0.000700244, -0.000341968, 0.204192, 1, -0.144748, -0.026394
-0.0025429, 0.0154292, -0.00181228, -0.00115174, 0.000460608, -0.000544892, -0.00118311, 0.0158993, -0.000246465, 0.00293293, 0.112923, -0.144748, 1, 0.00649407
-0.0120045, 0.0389271, -0.00588055, -0.00246641, 0.00117341, -0.000960815, -0.00704194, 0.0381684, -0.243473, 0.275046, -0.00461738, -0.026394, 0.00649407, 1
DJI_0249.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
