x,y,z,sx,sy,sz
1420058.78,9411004.00,-136.35,0.8576,0.8911,1.2300
1420024.71,9410986.30,-129.08,0.8004,0.8406,1.1816
1419981.59,9410959.64,-138.04,0.7477,0.7833,1.1309
1420062.34,9410947.43,-135.37,0.8101,0.8195,1.1852
1420060.01,9410994.97,-136.20,0.8491,0.8788,1.2214
1420039.68,9411006.74,-136.89,0.8386,0.8816,1.2143
1420051.56,9410999.08,-136.30,0.8450,0.8791,1.2189
1420078.06,9410967.23,-135.31,0.8448,0.8548,1.2152
1420103.66,9410972.41,-134.56,0.8808,0.8816,1.2455
1420091.70,9410939.21,-130.70,0.8377,0.8311,1.2080
1420078.65,9410942.52,-130.93,0.8236,0.8210,1.1954
1420069.88,9410964.73,-135.65,0.8341,0.8497,1.2076
1420051.70,9410925.09,-130.83,1.6004,3.0637,1.9670
1420066.75,9410860.86,-134.18,0.7567,0.8327,1.1464
1420074.18,9410976.65,-135.64,0.8490,0.8663,1.2203
1420021.96,9410769.89,-134.09,1.5857,4.7271,1.5247
1420007.72,9410793.58,-128.91,1.1056,2.3776,1.1866
1420031.41,9410998.57,-137.08,0.8226,0.8647,1.2002
1420037.35,9411001.61,-136.92,0.8309,0.8726,1.2074
1420035.79,9411004.09,-137.07,0.8317,0.8752,1.2084
1420050.76,9410993.87,-136.53,0.8379,0.8707,1.2120
1420037.85,9411002.35,-136.88,0.8323,0.8740,1.2086
1420038.67,9411002.98,-136.96,0.8357,0.8759,1.2116
1420039.90,9411007.78,-136.90,0.8386,0.8830,1.2146
1420032.31,9411000.66,-137.12,0.8246,0.8680,1.2023
1420035.83,9410996.70,-136.93,0.8250,0.8647,1.2019
1420027.01,9410998.69,-137.24,0.8197,0.8622,1.1977
1420032.32,9411001.86,-137.08,0.8264,0.8698,1.2038
1420083.82,9410939.89,-134.86,0.8295,0.8242,1.2001
1420013.68,9410975.67,-137.29,0.7822,0.8209,1.1652
1420005.73,9410977.01,-137.04,0.7776,0.8183,1.1610
1419980.81,9410961.49,-138.00,0.7431,0.7836,1.1309
1419965.61,9410958.37,-135.33,0.7342,0.7725,1.1192
1419967.94,9410947.33,-136.30,0.7225,0.7585,1.1109
1420025.75,9410993.61,-137.21,0.8129,0.8543,1.1914
1420044.68,9411004.75,-136.77,0.8425,0.8821,1.2173
1420027.28,9410991.74,-137.10,0.8120,0.8523,1.1907
1420001.72,9410976.64,-137.66,0.7740,0.8159,1.1580
1420047.59,9410986.24,-136.50,0.8270,0.8577,1.2023
1420043.48,9411001.39,-136.74,0.8367,0.8762,1.2121
1420043.43,9411007.12,-136.75,0.8429,0.8846,1.2179
1419942.05,9410940.58,-138.95,0.9222,0.8129,1.1201
1420048.20,9411011.26,-136.72,0.8507,0.8933,1.2247
1420020.65,9410995.25,-137.37,0.8151,0.8548,1.1913
1420040.02,9411001.25,-136.96,0.8336,0.8739,1.2094
1420011.36,9410963.75,-137.41,0.7766,0.8065,1.1563
1420015.09,9410964.61,-137.12,0.7735,0.8065,1.1569
1420018.16,9410988.13,-137.42,0.8052,0.8434,1.1824
1420046.00,9410984.44,-136.49,0.8303,0.8594,1.2050
1420016.09,9410972.60,-137.19,0.7825,0.8184,1.1648
1420046.80,9411008.61,-136.57,0.8554,0.8907,1.2292
1419988.56,9410959.59,-137.95,0.7496,0.7859,1.1348
1420007.16,9410970.42,-137.49,0.7731,0.8104,1.1565
1420036.06,9410985.17,-136.60,0.8210,0.8522,1.1967
1420029.44,9410987.49,-136.91,0.8086,0.8471,1.1878
1420044.80,9410983.91,-136.51,0.8234,0.8538,1.1991
1419976.82,9410947.92,-137.26,0.7355,0.7668,1.1181
1420043.39,9411009.92,-136.88,0.8450,0.8885,1.2200
1419990.23,9410974.14,-136.86,0.7710,0.8085,1.1498
1419990.06,9410975.48,-138.05,0.7680,0.8093,1.1501
1420046.31,9410980.38,-136.27,0.8241,0.8518,1.2008
1420046.92,9411002.76,-136.70,0.8411,0.8802,1.2158
1419994.49,9410957.85,-137.65,0.7470,0.7845,1.1359
1420047.73,9411004.65,-136.79,0.8485,0.8850,1.2228
1420019.16,9410994.68,-137.33,0.8085,0.8519,1.1876
1420006.88,9410959.29,-137.28,0.7685,0.7986,1.1488
1419946.93,9410940.49,-138.73,0.7848,0.7673,1.1041
1420043.98,9410988.82,-136.62,0.8253,0.8587,1.2012
1419994.98,9410954.22,-137.65,0.7510,0.7832,1.1349
1420047.59,9411002.47,-136.65,0.8448,0.8814,1.2190
1420016.09,9410966.95,-137.21,0.7828,0.8135,1.1622
1420034.97,9410986.51,-136.84,0.8142,0.8497,1.1919
1419969.52,9410939.09,-138.32,0.7452,0.7619,1.1103
1420045.69,9410991.11,-136.62,0.8303,0.8637,1.2055
1420043.28,9410990.44,-136.71,0.8264,0.8607,1.2022
1420023.28,9410980.91,-137.14,0.8006,0.8356,1.1794
1420022.81,9410982.60,-137.04,0.8009,0.8373,1.1799
1420024.54,9410986.61,-137.14,0.8048,0.8434,1.1841
1420045.10,9410997.84,-136.71,0.8351,0.8722,1.2103
1420028.45,9410988.85,-137.01,0.8089,0.8485,1.1882
1419998.19,9410966.80,-137.69,0.7661,0.8015,1.1483
1420037.70,9410989.57,-136.83,0.8212,0.8565,1.1977
1420030.62,9410989.64,-136.91,0.8117,0.8509,1.1906
1420025.68,9410989.13,-137.09,0.8067,0.8472,1.1864
1420040.91,9410988.26,-136.64,0.8214,0.8557,1.1981
1420036.55,9410994.59,-136.91,0.8239,0.8623,1.2006
1420018.90,9410990.81,-137.34,0.8043,0.8463,1.1838
1420039.39,9411000.36,-136.88,0.8325,0.8724,1.2085
