imageName X Y Z Omega Phi Kappa
DJI_0248.JPG 1419720.535961 9410598.583539 -78.421012 11.334617 -66.042788 -76.532999
DJI_0249.JPG 1419739.159678 9410598.958850 -77.348772 11.689264 -66.066978 -76.240616
DJI_0250.JPG 1419761.583855 9410600.112448 -77.573250 19.785663 -64.992421 -67.387787
DJI_0251.JPG 1419788.916641 9410603.542382 -76.308814 22.358802 -64.541176 -64.607998
DJI_0252.JPG 1419823.191766 9410608.716864 -75.503909 21.944961 -64.718116 -65.094745
DJI_0253.JPG 1419856.947521 9410615.690182 -74.952994 21.445950 -64.991659 -65.643999
DJI_0254.JPG 1419890.475691 9410620.716365 -74.796233 32.538841 -62.205207 -53.325020
DJI_0255.JPG 1419915.507240 9410627.940581 -74.262762 35.590453 -51.207997 -46.558562
DJI_0256.JPG 1419934.993664 9410641.235685 -73.419530 41.586319 -47.116716 -38.560233
DJI_0257.JPG 1419948.864288 9410653.381424 -72.818751 46.511990 -42.215284 -31.424141
DJI_0258.JPG 1419961.381287 9410664.748191 -72.697446 50.023031 -37.360565 -25.842140
DJI_0259.JPG 1419972.167491 9410676.898779 -73.616145 51.812257 -34.302206 -22.620178
DJI_0260.JPG 1419986.156789 9410693.560426 -73.475929 52.111652 -33.831426 -22.008368
DJI_0261.JPG 1420004.405297 9410715.330725 -73.397595 52.961875 -34.098689 -21.399795
DJI_0262.JPG 1420020.210544 9410733.731360 -73.250595 53.420872 -33.260643 -20.473524
DJI_0263.JPG 1420036.166848 9410750.525506 -72.919929 55.044035 -29.314270 -17.088424
DJI_0264.JPG 1420046.569341 9410766.925032 -72.936375 55.643633 -27.644361 -15.739870
DJI_0265.JPG 1420050.909418 9410794.295706 -73.302017 55.699571 -27.512078 -15.529824
DJI_0266.JPG 1420053.772103 9410824.293548 -73.062676 55.467656 -27.203302 -15.231525
DJI_0267.JPG 1420066.004231 9410855.293713 -72.827154 55.249676 -28.230106 -15.975903
DJI_0268.JPG 1420095.027537 9410900.007398 -72.944670 56.036120 -25.986146 -14.359258
DJI_0269.JPG 1420113.607628 9410931.254347 -73.379988 58.893776 -9.694358 -3.825810
DJI_0270.JPG 1420116.043720 9410956.729568 -73.551192 58.978435 2.913977 3.618706
DJI_0271.JPG 1420110.856791 9410984.985761 -73.851020 57.866622 13.169571 9.785303
DJI_0272.JPG 1420100.054971 9411012.630595 -73.499232 49.508107 36.175796 27.580355
DJI_0273.JPG 1420091.286690 9411023.565123 -73.722765 32.394915 51.550858 51.072325
DJI_0274.JPG 1420089.244175 9411024.842630 -73.416754 0.795115 58.478317 88.461526
DJI_0275.JPG 1420089.770317 9411024.058923 -73.207940 -35.148990 50.825556 130.892141
DJI_0276.JPG 1420102.992112 9411038.864666 -72.716484 -50.510261 37.097780 152.060890
DJI_0277.JPG 1420115.647271 9411051.662433 -72.714249 -48.595089 22.321281 159.734295
DJI_0278.JPG 1420112.111717 9411043.786981 -73.381130 -54.634167 23.119687 162.789402
DJI_0279.JPG 1420101.761183 9411026.501168 -73.845345 -54.721521 22.857049 162.919888
DJI_0280.JPG 1420094.347643 9411013.776207 -73.877636 -59.270249 24.136870 164.726870
DJI_0281.JPG 1420088.955752 9411005.551516 -74.114759 -57.897513 28.300473 161.925313
DJI_0282.JPG 1420076.027264 9410997.568854 -74.917544 -61.121324 16.907351 169.422347
DJI_0283.JPG 1420062.831218 9410979.238758 -74.845813 -61.427403 15.336715 170.223461
DJI_0284.JPG 1420052.129375 9410951.308989 -74.145474 -61.380021 15.497135 170.047684
DJI_0285.JPG 1420042.680801 9410929.265203 -73.904677 -61.312520 16.023806 169.745160
DJI_0286.JPG 1420038.389405 9410918.497784 -73.770540 -61.232120 16.244262 169.609437
DJI_0287.JPG 1420033.933518 9410907.756959 -73.450847 -61.210599 16.254426 169.567019
DJI_0288.JPG 1420024.988475 9410891.281727 -74.201605 -61.217986 16.373318 169.480615
DJI_0289.JPG 1420018.748451 9410882.339774 -74.945851 -61.212121 16.423148 169.509394
DJI_0290.JPG 1420008.752333 9410867.888125 -76.547123 -61.241594 16.453064 169.500010
DJI_0291.JPG 1419993.991236 9410843.109411 -78.400757 -61.203292 16.532460 169.313017
DJI_0292.JPG 1419977.386943 9410812.371353 -79.638691 -61.222686 16.487081 169.342607
DJI_0293.JPG 1419960.781626 9410782.437224 -80.645728 -61.223857 16.755835 169.178888
DJI_0294.JPG 1419948.580470 9410760.329460 -81.241410 -61.121557 16.969716 169.057825
DJI_0295.JPG 1419933.792594 9410735.563996 -82.085791 -58.604275 26.251478 163.060494
DJI_0296.JPG 1419917.402533 9410717.331303 -82.342267 -63.602224 30.092605 164.391720
DJI_0297.JPG 1419911.665963 9410703.398427 -78.977780 -35.848030 -43.153801 -136.694551
DJI_0298.JPG 1419913.110997 9410704.924902 -78.756614 1.148779 -53.563903 -87.379309
DJI_0299.JPG 1419914.461919 9410706.528016 -85.694441 55.667495 -49.174529 -25.476753
DJI_0300.JPG 1419940.931404 9410726.867797 -85.338951 59.000309 -43.822597 -20.778686
DJI_0301.JPG 1419966.239022 9410742.364474 -83.304464 59.944955 -42.023540 -19.366173
DJI_0302.JPG 1419980.451874 9410752.719192 -82.910156 60.884082 -39.919642 -17.800924
DJI_0303.JPG 1419995.251632 9410767.227357 -82.637430 61.113854 -39.374856 -17.401103
DJI_0304.JPG 1420014.876907 9410788.671324 -82.064599 61.888404 -37.409373 -16.039228
DJI_0305.JPG 1420039.250344 9410817.168679 -81.624788 57.973429 -33.634386 -17.041762
DJI_0306.JPG 1420061.718754 9410842.942681 -81.520708 60.255754 -26.042909 -11.949730
DJI_0307.JPG 1420078.406022 9410867.230685 -81.893750 61.776515 -17.696376 -7.023201
DJI_0308.JPG 1420090.767364 9410896.664358 -82.073243 62.661267 -4.964044 -0.379892
DJI_0309.JPG 1420095.519773 9410925.089295 -82.241445 62.508305 2.053446 3.116922
DJI_0310.JPG 1420092.472053 9410949.496191 -82.189170 57.266300 29.071527 18.656048
DJI_0311.JPG 1420077.175302 9410972.645950 -82.825707 29.193113 56.880712 56.243791
DJI_0312.JPG 1420022.261852 9410922.273948 -86.250241 -64.799902 18.873355 169.314828
DJI_0313.JPG 1419991.071646 9410862.156033 -87.240151 -61.937618 29.272776 163.191088
DJI_0120.JPG 1419644.739025 9410543.300474 -79.218918 1.431508 1.336024 -79.940832
DJI_0121.JPG 1419667.030117 9410546.607645 -79.990011 1.231168 1.409589 -80.304180
DJI_0122.JPG 1419683.502173 9410549.118444 -86.874663 1.385550 1.230094 -80.307377
DJI_0123.JPG 1419702.760316 9410549.835693 -87.272994 1.524045 1.447802 -80.038854
DJI_0124.JPG 1419722.545621 9410550.560620 -87.337652 0.942199 1.189523 -80.522963
DJI_0125.JPG 1419748.141120 9410545.899513 -86.698056 0.634445 1.278669 -79.991864
DJI_0128.JPG 1419776.432274 9410580.276803 -88.420133 1.636857 1.593783 54.519460
DJI_0129.JPG 1419765.077985 9410588.714589 -88.360754 1.428993 1.341803 56.063035
DJI_0130.JPG 1419751.792599 9410599.427904 -87.708001 1.098274 1.142637 55.995611
DJI_0131.JPG 1419732.711977 9410612.716099 -86.648520 1.064034 0.965204 56.859587
DJI_0132.JPG 1419708.409822 9410617.366610 -85.268203 2.057510 0.199463 112.853025
DJI_0133.JPG 1419676.075014 9410607.603232 -84.985773 -0.049452 0.445945 122.060528
DJI_0134.JPG 1419647.949305 9410595.910176 -84.226382 0.897923 -0.191981 112.815567
